"football_name","school_name"
"Colorado","University of Colorado Boulder"
"Hawaii","University of Hawaii at Manoa"
"Illinois","University of Illinois at Urbana-Champaign"
"Maryland","University of Maryland-College Park"
"Michigan","University of Michigan-Ann Arbor"
"Minnesota","University of Minnesota-Twin Cities"
"Missouri","University of Missouri-Columbia"
"Missouri State","Missouri State University-Springfield"
"Nebraska","University of Nebraska-Lincoln"
"New Hampshire","University of New Hampshire-Main Campus"
"New Mexico","University of New Mexico-Main Campus"
"North Carolina","University of North Carolina at Chapel Hill"
"Ohio","Ohio University-Main Campus"
"Oklahoma","University of Oklahoma-Norman Campus"
"Penn State","Pennsylvania State University-Main Campus"
"Pittsburgh","University of Pittsburgh-Pittsburgh Campus"
"South Carolina","University of South Carolina-Columbia"
"South Florida","University of South Florida-Main Campus"
"Tennessee","The University of Tennessee-Knoxville"
"Tennessee-Martin","The University of Tennessee-Martin"
"Texas","The University of Texas at Austin"
"Virginia","University of Virginia-Main Campus"
"Washington","University of Washington-Seattle Campus"
"Alabama-Birmingham","University of Alabama at Birmingham"
"Arkansas-Pine Bluff","University of Arkansas at Pine Bluff"
"Army","United States Military Academy"
"Cal Poly","California Polytechnic State University-San Luis Obispo"
"Florida A&M","Florida Agricultural and Mechanical University"
"Fresno State","California State University-Fresno"
"Louisiana-Lafayette","University of Louisiana at Lafayette"
"Miami (OH)","Miami University-Oxford"
"Navy","United States Naval Academy"
"Sacramento State","California State University-Sacramento"
"Texas-El Paso","The University of Texas at El Paso"
"Texas-San Antonio","The University of Texas at San Antonio"
"UCLA","University of California-Los Angeles"
"William & Mary","College of William and Mary"
"Albany","SUNY at Albany"
"Charlotte","University of North Carolina at Charlotte"
"Louisiana State","Louisiana State University and Agricultural & Mechanical College"
"Montana","The University of Montana"
